,PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
0,Adam Flagler,PG,n/a%,8.00,9.25,6' 1.00'',,8' 1.00'',191.8,6' 4.50'',11.37,n/a,3.45,26.0,29.5,n/a
1,Adama Sanogo,C,n/a%,9.75,10.00,6' 7.25'',,9' 0.50'',257.8,7' 2.75'',n/a,n/a,n/a,n/a,n/a,n/a
2,Adem Bona,C,n/a%,9.25,10.00,6' 8.25'',,9' 2.50'',243.4,,11.71,3.16,3.43,26.0,30.5,n/a
3,Amari Bailey,SG,n/a%,8.00,9.25,6' 3.25'',,8' 7.50'',190.8,6' 7.00'',11.60,n/a,3.35,29.5,34.0,n/a
4,Amen Thompson,SG,n/a%,8.50,8.50,6' 5.75'',,8' 7.50'',214.2,7' 0.00'',11.80,3.23,3.20,33.0,36.5,n/a
5,Andre Jackson Jr.,SF,n/a%,8.25,9.50,6' 5.50'',,8' 7.00'',198.4,6' 9.75'',10.70,3.19,3.41,28.5,33.0,n/a
6,Anthony Black,PG,n/a%,8.25,9.50,6' 5.75'',,8' 6.50'',210.0,6' 7.50'',10.36,n/a,3.06,32.0,37.5,n/a
7,Arthur Kaluma,PF,n/a%,8.50,10.00,6' 6.25'',,8' 7.50'',221.8,7' 0.50'',10.86,n/a,3.21,30.0,37.0,n/a
8,Ausar Thompson,SG,n/a%,8.75,9.25,6' 5.75'',,8' 8.00'',218.2,7' 0.00'',11.27,n/a,3.32,32.5,36.0,n/a
9,Azuolas Tubelis,PF,n/a%,9.00,10.50,6' 8.75'',,9' 0.00'',234.8,6' 11.00'',11.24,n/a,3.31,30.5,35.5,n/a
10,Ben Sheppard,SG,n/a%,8.50,9.50,6' 5.25'',,8' 4.00'',194.6,6' 7.75'',11.02,n/a,3.15,31.5,35.5,n/a
11,Bilal Coulibaly,SGn/aSF,n/a%,n/a,n/a,,,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
12,Bobi Klintman,PF,n/a%,n/a,n/a,,,,n/a,,12.27,n/a,3.39,28.0,30.5,n/a
13,Brandin Podziemski,SG,n/a%,8.25,10.00,6' 3.75'',,8' 0.50'',203.8,6' 5.50'',11.20,3.21,3.33,30.5,37.0,n/a
14,Brandon Miller,SF,n/a%,n/a,n/a,,,,n/a,,10.99,3.33,3.14,30.5,38.0,n/a
15,Brice Sensabaugh,SF,n/a%,n/a,n/a,,,,n/a,,11.18,n/a,3.43,27.5,32.5,n/a
16,Cam Whitmore,SF,n/a%,8.00,8.25,6' 5.75'',,8' 7.50'',235.0,6' 8.50'',12.26,n/a,3.32,29.5,32.5,n/a
17,Cason Wallace,PG,n/a%,8.50,9.25,6' 2.50'',,8' 5.00'',195.2,6' 8.50'',10.80,n/a,3.22,29.0,35.5,n/a
18,Chris Livingston,SF,n/a%,8.50,9.00,6' 6.00'',,8' 8.50'',219.2,6' 11.25'',10.59,3.00,3.21,35.0,40.5,n/a
19,Colby Jones,SG,n/a%,8.25,8.50,6' 4.50'',,8' 7.00'',199.2,6' 8.00'',n/a,n/a,n/a,n/a,n/a,n/a
20,Coleman Hawkins,PF,n/a%,8.75,8.75,6' 8.50'',,9' 0.50'',224.4,7' 0.25'',n/a,n/a,n/a,n/a,n/a,n/a
21,DaRon Holmes II,C,n/a%,8.50,9.50,6' 9.00'',,9' 1.00'',220.8,7' 0.50'',n/a,n/a,n/a,n/a,n/a,n/a
22,Dariq Whitehead,SG,n/a%,8.50,10.00,6' 5.75'',,8' 7.50'',217.2,6' 10.25'',n/a,n/a,n/a,n/a,n/a,n/a
23,Dereck Lively Jr.,C,n/a%,n/a,n/a,,,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
24,Dillon Mitchell,PF,n/a%,8.25,9.50,6' 6.75'',,8' 9.00'',193.0,6' 10.00'',11.07,n/a,3.18,33.5,42.0,n/a
25,Drew Timme,C,n/a%,9.00,10.00,6' 8.75'',,9' 0.50'',243.2,7' 1.75'',11.01,3.24,3.11,33.0,37.0,n/a
26,Emoni Bates,SF,n/a%,8.00,8.25,6' 8.25'',,8' 9.00'',179.2,6' 9.00'',11.40,n/a,3.43,32.5,36.5,n/a
27,GG Jackson,PF,n/a%,8.50,10.00,6' 8.25'',,8' 10.00'',214.4,6' 11.50'',10.68,n/a,3.43,27.0,35.0,n/a
28,Gradey Dick,SG,n/a%,8.25,9.00,6' 6.25'',,8' 5.00'',204.0,6' 8.75'',11.00,n/a,3.33,32.0,37.5,n/a
29,Grant Nelson,PF,n/a%,9.00,9.50,6' 10.00'',,8' 10.50'',223.4,7' 0.00'',11.11,n/a,3.30,29.5,35.0,n/a
30,Isaiah Wong,SG,n/a%,8.25,9.50,6' 2.50'',,8' 1.50'',178.4,6' 6.75'',11.71,n/a,3.26,29.0,36.0,n/a
31,Jaime Jaquez Jr.,SF,n/a%,8.50,9.50,6' 6.00'',,8' 3.50'',226.4,6' 9.50'',11.39,3.23,3.33,28.5,32.0,n/a
32,Jalen Hoodn/aSchifino,PG,n/a%,9.00,9.75,6' 4.25'',,8' 4.50'',216.6,6' 10.25'',n/a,n/a,n/a,n/a,n/a,n/a
33,Jalen Pickett,PG,n/a%,8.50,7.50,6' 2.00'',,8' 2.50'',197.8,6' 7.25'',n/a,n/a,n/a,n/a,n/a,n/a
34,Jalen Slawson,PF,n/a%,9.00,9.00,6' 6.50'',,8' 10.00'',221.6,6' 11.75'',n/a,n/a,n/a,n/a,n/a,n/a
35,Jalen Wilson,SF,n/a%,8.25,9.00,6' 5.50'',,8' 3.50'',230.2,6' 8.00'',10.94,3.46,3.31,27.5,34.5,n/a
36,James Nnaji,C,n/a%,n/a,n/a,,,,n/a,,11.09,n/a,3.32,36.0,43.0,n/a
37,Jarace Walker,PF,n/a%,9.00,10.00,6' 6.50'',,8' 8.50'',248.6,7' 2.50'',10.32,3.13,3.24,28.5,37.0,n/a
38,Jaylen Clark,SG,n/a%,8.50,9.00,6' 4.00'',,8' 5.50'',204.2,6' 9.00'',10.83,n/a,3.30,33.0,36.0,n/a
39,Jett Howard,SF,n/a%,n/a,n/a,,,,n/a,,11.43,3.21,3.17,32.0,36.5,n/a
40,Jordan Hawkins,SG,n/a%,8.25,8.75,6' 4.25'',,8' 5.50'',186.0,6' 6.75'',n/a,n/a,n/a,n/a,n/a,n/a
41,Jordan Miller,SF,n/a%,8.50,9.25,6' 4.50'',,8' 7.50'',191.6,6' 11.75'',n/a,n/a,n/a,n/a,n/a,n/a
42,Jordan Walsh,SF,n/a%,8.75,8.50,6' 5.75'',,8' 11.00'',204.0,7' 1.75'',n/a,n/a,n/a,n/a,n/a,n/a
43,Judah Mintz,PG,n/a%,8.25,9.25,6' 3.00'',,8' 2.00'',176.4,6' 3.50'',10.89,n/a,3.20,34.5,38.0,n/a
44,Julian Phillips,SF,n/a%,8.50,9.00,6' 6.75'',,8' 6.00'',196.6,6' 11.50'',n/a,n/a,n/a,n/a,n/a,n/a
45,Julian Strawther,SF,n/a%,8.25,8.25,6' 6.00'',,8' 9.00'',208.8,6' 9.25'',11.26,3.15,3.20,31.5,35.0,n/a
46,Kevin McCullar,SF,n/a%,n/a,n/a,,,,n/a,,11.26,n/a,3.29,29.0,33.0,n/a
47,Keyontae Johnson,SF,n/a%,9.00,9.00,6' 4.00'',,8' 7.00'',238.6,7' 0.00'',11.91,3.41,3.35,28.5,33.0,n/a
48,Keyonte George,SG,n/a%,n/a,n/a,,,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
49,Kobe Brown,PF,n/a%,8.75,9.75,6' 6.50'',,8' 10.50'',252.2,7' 0.75'',11.21,n/a,3.33,34.5,39.0,n/a
50,Kobe Bufkin,SG,n/a%,8.00,9.25,6' 4.25'',,8' 6.50'',186.8,6' 7.75'',10.93,n/a,3.22,32.5,37.0,n/a
51,Kris Murray,PF,n/a%,8.50,9.00,6' 7.75'',,8' 10.00'',212.8,6' 11.75'',9.99,n/a,3.21,32.0,35.5,n/a
52,Leonard Miller,PF,n/a%,9.50,10.50,6' 9.25'',,8' 10.50'',212.8,7' 2.00'',11.13,2.98,3.50,29.0,34.0,n/a
53,Marcus Sasser,PG,n/a%,8.75,9.50,6' 1.25'',,8' 3.50'',195.6,6' 7.00'',11.39,n/a,3.21,31.0,37.0,n/a
54,Maxwell Lewis,SG,n/a%,8.75,9.50,6' 6.25'',,8' 8.50'',207.2,7' 0.00'',11.54,n/a,3.49,27.0,32.5,n/a
55,Mike Miles Jr.,PG,n/a%,8.00,8.25,6' 0.75'',,8' 0.00'',205.0,6' 0.50'',10.93,n/a,3.34,26.0,30.5,n/a
56,Mojave King,SG,n/a%,8.75,9.50,6' 3.75'',,8' 5.00'',200.6,6' 8.00'',10.92,n/a,3.32,29.0,37.0,n/a
57,Mouhamed Gueye,C,n/a%,9.00,10.00,6' 10.25'',,9' 2.50'',212.6,7' 3.25'',n/a,n/a,n/a,n/a,n/a,n/a
58,Nae'Qwan Tomlin,PF,n/a%,n/a,n/a,,,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
59,Nick Smith Jr.,SG,n/a%,n/a,n/a,,,,n/a,,11.48,n/a,3.20,29.5,35.0,n/a
60,Nikola Djurisic,SF,n/a%,8.25,9.50,6' 7.00'',,8' 6.00'',217.6,6' 8.25'',12.14,n/a,3.37,26.5,32.5,n/a
61,Noah Clowney,PF,n/a%,n/a,n/a,,,,n/a,,11.14,3.13,3.33,30.5,35.0,n/a
62,Oliviern/aMaxence Prosper,PF,n/a%,8.25,10.00,6' 6.75'',,8' 8.00'',212.4,7' 1.00'',11.65,n/a,3.27,30.5,37.0,n/a
63,Omari Moore,SG,n/a%,9.00,10.25,6' 5.25'',,8' 7.5'',188.6,6' 9.75'',10.82,n/a,3.34,28.0,36.0,n/a
64,Oscar Tshiebwe,C,n/a%,9.75,10.25,6' 7.25'',,9' 0.00'',253.6,7' 3.50'',10.82,3.33,3.20,31.5,40.5,n/a
65,Rayan Rupert,SF,n/a%,8.50,9.50,6' 6.00'',,8' 10.00'',193.2,7' 2.00'',n/a,n/a,n/a,n/a,n/a,n/a
66,Reece Beekman,PG,n/a%,8.50,8.25,6' 1.50'',,8' 4.50'',190.6,6' 7.00'',n/a,n/a,n/a,n/a,n/a,n/a
67,Ricky Council IV,SF,n/a%,7.75,8.50,6' 5.00'',,8' 7.00'',208.0,6' 9.00'',11.16,3.20,3.21,31.5,39.0,n/a
68,Ryan Kalkbrenner,C,n/a%,9.25,11.00,7' 0.75'',,9' 4.50'',251.8,7' 5.00'',n/a,n/a,n/a,n/a,n/a,n/a
69,Scoot Henderson,PG,n/a%,n/a,n/a,,,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
70,Seth Lundy,SF,n/a%,8.50,9.00,6' 4.00'',,8' 8.00'',214.4,6' 10.25'',10.88,2.98,3.17,29.5,35.5,n/a
71,Sidy Cissoko,SF,n/a%,9.25,10.00,6' 5.50'',,8' 8.00'',223.8,6' 9.75'',11.17,n/a,3.50,23.5,30.5,n/a
72,Taylor Hendricks,PF,n/a%,9.25,10.25,6' 8.25'',,8' 11.00'',213.6,7' 0.50'',n/a,n/a,n/a,n/a,n/a,n/a
73,Terquavion Smith,SG,n/a%,8.50,8.00,6' 2.50'',,8' 2.00'',163.2,6' 6.75'',11.35,3.26,3.44,32.5,34.5,n/a
74,Terrence Shannon Jr.,SF,n/a%,8.25,8.00,6' 5.50'',,8' 6.00'',220.0,6' 8.00'',11.04,n/a,3.35,32.0,39.0,n/a
75,Toumani Camara,PF,n/a%,9.00,10.00,6' 7.00'',,8' 11.00'',220.4,7' 0.50'',10.83,n/a,3.14,30.5,39.5,n/a
76,Trayce Jacksonn/aDavis,C,n/a%,9.25,10.75,6' 8.25'',,8' 10.00'',240.4,7' 1.00'',n/a,n/a,n/a,n/a,n/a,n/a
77,Trey Alexander,SG,n/a%,8.50,8.75,6' 3.25'',,8' 5.50'',184.6,6' 10.00'',11.34,n/a,3.19,28.5,35.0,n/a
78,Tristan Vukcevic,C,n/a%,9.00,10.25,6' 11.25'',,9' 3.00'',223.4,7' 2.50'',n/a,n/a,n/a,n/a,n/a,n/a
79,Victor Wembanyama,C,n/a%,n/a,n/a,,,,n/a,,11.50,n/a,3.31,28.5,31.0,n/a
80,Zach Edey,C,n/a%,9.75,11.00,7' 3.25'',,9' 7.50'',306.4,7' 10.50'',10.96,n/a,3.24,31.0,36.0,n/a
