,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
0,11.37,-,3.45,26.0,29.5,-
1,-,-,-,-,-,-
2,11.71,3.16,3.43,26.0,30.5,-
3,11.60,-,3.35,29.5,34.0,-
4,11.80,3.23,3.20,33.0,36.5,-
5,10.70,3.19,3.41,28.5,33.0,-
6,10.36,-,3.06,32.0,37.5,-
7,10.86,-,3.21,30.0,37.0,-
8,11.27,-,3.32,32.5,36.0,-
9,11.24,-,3.31,30.5,35.5,-
10,11.02,-,3.15,31.5,35.5,-
11,-,-,-,-,-,-
12,12.27,-,3.39,28.0,30.5,-
13,11.20,3.21,3.33,30.5,37.0,-
14,10.99,3.33,3.14,30.5,38.0,-
15,11.18,-,3.43,27.5,32.5,-
16,12.26,-,3.32,29.5,32.5,-
17,10.80,-,3.22,29.0,35.5,-
18,10.59,3.00,3.21,35.0,40.5,-
19,-,-,-,-,-,-
20,-,-,-,-,-,-
21,-,-,-,-,-,-
22,-,-,-,-,-,-
23,-,-,-,-,-,-
24,11.07,-,3.18,33.5,42.0,-
25,11.01,3.24,3.11,33.0,37.0,-
26,11.40,-,3.43,32.5,36.5,-
27,10.68,-,3.43,27.0,35.0,-
28,11.00,-,3.33,32.0,37.5,-
29,11.11,-,3.30,29.5,35.0,-
30,11.71,-,3.26,29.0,36.0,-
31,11.39,3.23,3.33,28.5,32.0,-
32,-,-,-,-,-,-
33,-,-,-,-,-,-
34,-,-,-,-,-,-
35,10.94,3.46,3.31,27.5,34.5,-
36,11.09,-,3.32,36.0,43.0,-
37,10.32,3.13,3.24,28.5,37.0,-
38,10.83,-,3.30,33.0,36.0,-
39,11.43,3.21,3.17,32.0,36.5,-
40,-,-,-,-,-,-
41,-,-,-,-,-,-
42,-,-,-,-,-,-
43,10.89,-,3.20,34.5,38.0,-
44,-,-,-,-,-,-
45,11.26,3.15,3.20,31.5,35.0,-
46,11.26,-,3.29,29.0,33.0,-
47,11.91,3.41,3.35,28.5,33.0,-
48,-,-,-,-,-,-
49,11.21,-,3.33,34.5,39.0,-
50,10.93,-,3.22,32.5,37.0,-
51,9.99,-,3.21,32.0,35.5,-
52,11.13,2.98,3.50,29.0,34.0,-
53,11.39,-,3.21,31.0,37.0,-
54,11.54,-,3.49,27.0,32.5,-
55,10.93,-,3.34,26.0,30.5,-
56,10.92,-,3.32,29.0,37.0,-
57,-,-,-,-,-,-
58,-,-,-,-,-,-
59,11.48,-,3.20,29.5,35.0,-
60,12.14,-,3.37,26.5,32.5,-
61,11.14,3.13,3.33,30.5,35.0,-
62,11.65,-,3.27,30.5,37.0,-
63,10.82,-,3.34,28.0,36.0,-
64,10.82,3.33,3.20,31.5,40.5,-
65,-,-,-,-,-,-
66,-,-,-,-,-,-
67,11.16,3.20,3.21,31.5,39.0,-
68,-,-,-,-,-,-
69,-,-,-,-,-,-
70,10.88,2.98,3.17,29.5,35.5,-
71,11.17,-,3.50,23.5,30.5,-
72,-,-,-,-,-,-
73,11.35,3.26,3.44,32.5,34.5,-
74,11.04,-,3.35,32.0,39.0,-
75,10.83,-,3.14,30.5,39.5,-
76,-,-,-,-,-,-
77,11.34,-,3.19,28.5,35.0,-
78,-,-,-,-,-,-
79,11.50,-,3.31,28.5,31.0,-
80,10.96,-,3.24,31.0,36.0,-
